node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;15;15;0;5.25;4;1;0;3;15.0;-82.0;4;833.3;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;16.2127;11.2047;0;5.25;4;1;0;3;15.0;-82.0;4;833.3;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;24.8039;18.5782;0;5.25;0;0;0;0;15.0;-82.0;4;4546.85996795948;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;28.6281;20.7798;0;5.25;0;0;0;0;15.0;-82.0;4;4546.85996795948;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;17.6913;28.4349;0;5.25;4;3;0;3;15.0;-82.0;4;6915.626664180349;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;21.1103;26.1816;0;5.25;4;3;0;3;15.0;-82.0;4;6915.626664180349;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;5.7365;26.9351;0;5.25;0;0;0;3;15.0;-82.0;4;6527.777978622373;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;9.6915;27.0658;0;5.25;0;0;0;3;15.0;-82.0;4;6527.777978622373;12000;64;0;10;0.0;1;1;16;5
